make,model,market_regions,powertrain,first_year,body_style,origin_country
Tesla,Model S,Global (US/EU/UK/ME),BEV,2012,Sedan,US
Tesla,Model 3,Global (US/EU/UK/ME/CN),BEV,2017,Sedan,US
Tesla,Model X,Global (US/EU/UK/ME),BEV,2015,SUV,US
Tesla,Model Y,Global (US/EU/UK/ME/CN),BEV,2020,SUV,US
Tesla,Cybertruck,US (limited),BEV,2023,Pickup,US
Nissan,Leaf,Global (EU/UK/US/JP),BEV,2010,Hatchback,JP
Chevrolet,Bolt EV,US/CA (discontinued 2023; returning),BEV,2016,Hatchback,US
Chevrolet,Bolt EUV,US/CA (discontinued 2023),BEV,2021,Crossover,US
Ford,Mustang Mach-E,US/EU/UK/ME,BEV,2020,SUV,US
Ford,F-150 Lightning,US/CA,BEV,2022,Pickup,US
Volkswagen,ID.3,EU/UK,BEV,2020,Hatchback,DE
Volkswagen,ID.4,Global (US/EU/UK/CN),BEV,2020,SUV,DE
Volkswagen,ID. Buzz,EU/UK/US,BEV,2022,Van,DE
Skoda,Enyaq iV,EU/UK,BEV,2020,SUV,CZ
Audi,Q4 e-tron,EU/UK/US,BEV,2021,SUV,DE
Porsche,Taycan,Global (EU/UK/US/ME/CN),BEV,2019,Sedan/Wagon,DE
Cupra,Born,EU/UK,BEV,2021,Hatchback,ES
Hyundai,Kona Electric,Global (EU/UK/US/ME),BEV,2018,SUV,KR
Hyundai,IONIQ 5,Global (EU/UK/US/ME),BEV,2021,Crossover,KR
Hyundai,IONIQ 6,Global (EU/UK/US/ME),BEV,2022,Sedan,KR
Kia,EV6,Global (EU/UK/US/ME),BEV,2021,Crossover,KR
Kia,EV9,Global (EU/UK/US/ME),BEV,2023,SUV (3-row),KR
Genesis,GV60,EU/UK/US/ME,BEV,2022,Crossover,KR
BMW,i4,Global (EU/UK/US),BEV,2021,Sedan,DE
BMW,iX,Global (EU/UK/US),BEV,2021,SUV,DE
BMW,i5,Global (EU/UK/US),BEV,2023,Sedan,DE
Mercedes-Benz,EQA,EU/UK,BEV,2021,SUV,DE
Mercedes-Benz,EQB,EU/UK/US,BEV,2021,SUV,DE
Mercedes-Benz,EQE,EU/UK/US,BEV,2022,Sedan/SUV,DE
Mercedes-Benz,EQS,Global (EU/UK/US/ME),BEV,2021,Sedan/SUV,DE
Volvo,XC40 Recharge,EU/UK/US,BEV,2020,SUV,SE
Volvo,C40 Recharge,EU/UK/US,BEV,2021,Crossover,SE
Volvo,EX30,EU/UK/ME,BEV,2023,SUV,SE
Volvo,EX90,EU/US (rolling out),BEV,2024,SUV,SE
Polestar,2,Global (EU/UK/US),BEV,2019,Liftback,SE/CN
Polestar,3,EU/US/UK (2024-2025),BEV,2023,SUV,SE/CN
Peugeot,e-208,EU/UK,BEV,2019,Hatchback,FR
Peugeot,e-2008,EU/UK,BEV,2020,SUV,FR
Opel,Corsa-e,EU/UK,BEV,2020,Hatchback,DE
Citroën,ë-C4,EU/UK,BEV,2020,Crossover,FR
Fiat,500e,EU/US (reintroduced),BEV,2020,Hatchback,IT
Renault,Megane E-Tech Electric,EU/UK,BEV,2022,Hatchback,FR
Dacia,Spring,EU/UK,BEV,2021,City car,RO/CN
Toyota,bZ4X,Global (EU/UK/US/JP),BEV,2022,SUV,JP
Subaru,Solterra,Global (EU/UK/US/JP),BEV,2022,SUV,JP
Honda,e,EU/JP,BEV,2019,City car,JP
Honda,e:Ny1,EU/UK,BEV,2023,SUV,JP
Jaguar,I-Pace,Global (EU/UK/US),BEV,2018,SUV,UK
Lucid,Air,US/EU/ME,BEV,2021,Sedan,US
Lucid,Gravity,US (from 2025),BEV,2025,SUV,US
Rivian,R1T,US/CA,BEV,2021,Pickup,US
Rivian,R1S,US/CA,BEV,2022,SUV,US
BYD,Dolphin,Global (EU/ME/LA/CN),BEV,2021,Hatchback,CN
BYD,Seal,Global (EU/ME/CN),BEV,2022,Sedan,CN
BYD,Han,CN/ME/EU (limited),BEV,2020,Sedan,CN
BYD,Tang,CN/EU (limited),BEV,2018,SUV,CN
NIO,ET5,CN/EU (select),BEV,2022,Sedan,CN
NIO,ET7,CN/EU (select),BEV,2021,Sedan,CN
NIO,ES6,CN/EU (select),BEV,2019,SUV,CN
XPeng,P7,CN/EU (select),BEV,2019,Sedan,CN
XPeng,G9,CN/EU (select),BEV,2022,SUV,CN
Smart,#1,EU/UK/CN,BEV,2022,SUV,CN/DE
Audi,e-tron GT,Global (EU/UK/US),BEV,2021,Sedan,Germany
Audi,Q8 e-tron,Global (EU/UK/US),BEV,2023,SUV,Germany
BMW,i7,Global (EU/UK/US),BEV,2022,Sedan,Germany
BMW,iX1,EU/UK,BEV,2022,SUV,Germany
BMW,iX2,EU/UK,BEV,2024,SUV,Germany
BMW,iX3,EU/UK/China,BEV,2020,SUV,Germany
